report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2023-06-20,15687,3308,9079,1322,6540,261,612,555,3008,287,1259,729
2023-06-13,13251,1859,7634,1008,6045,327,665,584,2166,174,1168,724
2023-06-06,13026,2397,7625,819,6198,368,557,567,2205,163,1172,745
2023-05-30,11715,1865,6639,400,6478,184,647,497,2555,180,1178,741
2023-05-23,13043,2184,7078,689,6373,180,555,546,2437,133,1207,855
2023-05-16,13043,2337,7062,831,6349,169,565,558,2469,90,1334,882
2023-05-09,13102,2752,7634,669,6511,229,585,556,2483,54,1334,626
2023-05-02,12521,2280,6596,523,6582,363,587,554,2825,91,1259,608
2023-04-25,14064,2249,6625,1063,6406,256,886,458,3045,80,1364,775
2023-04-18,15385,4053,7737,727,7041,249,521,493,3998,242,1368,703
2023-04-11,15977,4637,8136,522,7376,82,519,508,4146,254,1542,793
2023-04-04,13380,3327,6656,445,6450,170,567,321,3714,118,1458,660
2023-03-28,14409,4147,7217,587,6428,220,588,285,3767,251,1449,902
2023-03-21,14049,3484,7746,337,6899,243,516,292,3299,305,1450,726
2023-03-14,13472,2551,6047,449,5924,318,536,305,3881,359,1248,863
2023-03-07,12821,2346,5259,463,6470,362,649,414,4185,159,1090,979
2023-02-28,15161,4527,6106,282,7047,240,655,369,5140,206,1232,919
2023-02-21,16501,4614,6405,461,7406,70,1020,348,5345,189,1398,1024
2023-02-14,15158,4207,6159,394,7187,72,744,356,5298,162,1268,850
2023-02-07,16843,5274,6690,477,7721,28,698,303,5827,92,1444,833
2023-01-31,17542,5683,7201,229,8149,58,680,292,5797,76,1635,756
2023-01-24,17390,5605,7642,642,7671,63,795,304,4346,107,1467,942
2023-01-17,15885,5291,6490,475,7027,306,576,203,3622,91,1440,1150
2023-01-10,14891,5217,6612,335,6212,880,651,306,3576,81,1339,716
2023-01-03,14530,4453,5650,684,5766,923,731,300,3643,63,1103,914
2022-12-27,16028,4768,6690,831,5941,969,1266,272,3659,95,1291,945
2022-12-20,14563,3962,5692,864,6006,875,854,272,3754,66,1319,841
2022-12-13,13989,4176,5677,831,6455,968,618,101,3490,98,1329,880
2022-12-06,15769,4197,7707,729,6303,1278,651,171,3130,67,1365,864
2022-11-29,16832,4842,8606,675,5606,1369,835,271,3095,169,1236,780
2022-11-22,18354,5743,8672,1107,5459,1322,886,340,3017,290,1405,1102
2022-11-15,17901,5365,9052,863,5706,1416,836,415,2608,108,1231,888
2022-11-08,14439,3998,7038,959,6265,1434,677,224,2640,83,1269,838
2022-11-01,12183,2304,5873,956,6397,1042,556,222,2453,38,1218,750
2022-10-25,14854,3525,7875,1239,6309,847,813,237,2330,92,1176,819
2022-10-18,14228,2091,7219,1022,5992,1158,929,258,2568,43,1404,761
2022-10-11,15756,3722,8172,949,5902,1486,1006,246,2553,53,1007,787
2022-10-04,14230,2682,8175,296,6028,1117,824,124,2487,0,1291,838
2022-09-27,14271,3472,7962,537,5666,1151,637,105,2574,38,1061,864
2022-09-20,13880,3390,7241,704,5488,1431,575,108,2502,92,1107,872
2022-09-13,13089,3420,7045,705,5653,1394,471,100,2162,155,944,750
2022-09-06,15337,4538,8072,892,5402,1899,520,200,2110,157,956,977
2022-08-30,14440,3928,7908,693,5823,1410,521,173,2048,187,996,965
2022-08-23,13302,2804,7502,826,6368,1144,395,59,1968,0,1141,906
2022-08-16,12423,1673,6270,954,7129,983,279,113,1819,0,1202,849
2022-08-09,12510,2029,6556,981,7153,935,303,106,1937,0,1034,733
2022-08-02,12849,2233,7094,453,7082,957,374,94,2153,29,1085,748
2022-07-26,14957,2184,6814,972,6580,1138,1162,126,2239,690,1160,921
2022-07-19,14512,2800,8296,1066,6247,1211,381,132,2178,70,1360,788
2022-07-12,13505,2264,7149,1000,6096,1369,520,137,2108,87,1247,875
2022-07-05,13258,2171,7408,667,5914,961,472,96,2002,159,1058,1016
2022-06-28,13707,2478,7597,1151,6526,1088,96,153,2003,218,890,1028
2022-06-21,13537,1508,7167,1272,6612,1012,49,62,2010,98,1048,1099
2022-06-14,12242,1344,6572,791,6371,1060,2,253,1917,10,1008,1122
2022-06-07,10990,1118,6173,582,5857,856,25,215,1827,0,1063,1024
2022-05-31,10900,1102,6428,672,5566,572,110,209,1688,90,1033,933
2022-05-24,11729,2116,7249,657,5386,566,85,191,1335,24,1072,1104
2022-05-17,11644,1413,7691,686,5688,641,46,192,1062,37,1081,1012
2022-05-10,10841,1863,7192,537,5735,888,19,283,802,82,989,903
2022-05-03,10051,1496,6834,498,5831,658,0,353,722,138,867,826
2022-04-26,10709,1714,6812,718,6147,523,0,364,872,58,942,928
