report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2013-05-21,433078,161929,38699,6960,174882,30092,4168,20238,291462,6216,35265,31638
2013-05-14,431617,163783,42049,9198,174046,31222,4776,18393,283654,6256,31282,29217
2013-05-07,423888,166291,42903,7802,168647,30951,5339,17211,282370,4328,32836,29382
2013-04-30,403000,166498,38850,6395,157983,26066,3685,15413,279308,4716,31813,28950
2013-04-23,364607,128018,39958,7524,156758,27770,6181,18009,244759,4838,27635,16930
2013-04-16,380967,143722,44062,6572,160570,27971,5311,14413,259225,5015,28571,23394
2013-04-09,362391,139069,43206,8460,151698,28147,6714,9011,240290,4726,26405,21299
2013-04-02,386987,164353,48325,2623,157929,27858,5605,7877,270581,3119,28380,19224
2013-03-26,357576,144877,39055,2642,150177,34159,4286,8001,245866,3244,28379,18358
2013-03-19,347996,125836,37885,3937,158718,34787,2925,7550,240012,2697,27509,14779
2013-03-12,468113,146708,75158,9798,147477,31820,8428,13850,205918,86789,34377,27135
2013-03-05,364216,137714,74442,6035,141848,32962,3796,12645,194692,10225,32385,22391
2013-02-26,341747,116696,70976,6851,150872,28763,5738,12400,183485,5288,27597,21956
2013-02-19,356461,128091,68288,3884,159927,27671,3328,14085,208158,3423,28785,24818
2013-02-12,344167,115291,64236,4776,157235,27682,3955,14564,200836,3099,29150,21207
2013-02-05,344928,124079,58833,3751,156468,28565,4428,11520,202910,2455,26778,24609
2013-01-29,338458,119242,58592,4999,145418,29221,7748,14033,200409,2370,28772,17413
2013-01-22,323321,113467,58777,3560,137723,31025,7091,11334,187179,2456,30751,17806
2013-01-15,320104,104944,63322,6211,139465,31266,6706,12414,177786,2555,31432,15043
2013-01-08,310351,103181,60750,4447,135820,31297,7012,12230,174161,2725,29201,14590
2012-12-31,290758,91458,74515,4811,129716,36044,5802,12553,140143,2572,31145,13558
2012-12-24,303017,102843,73186,4110,129496,35648,6095,14387,154808,2722,33335,12170
2012-12-18,486588,145596,63865,41497,120531,40007,28740,67379,237306,44229,25274,6357
2012-12-11,418471,154386,64554,14085,117552,45705,5468,69008,236111,10630,34358,15432
2012-12-04,401898,129283,65845,8903,110336,49050,5715,91645,224151,4750,37973,18049
2012-11-27,411982,105593,79467,9191,110065,53773,4513,127662,218155,5053,35820,21266
2012-11-20,411474,107333,79827,10132,114161,54288,5458,128175,219318,4995,28359,18324
2012-11-13,375073,108581,48151,9164,128983,54286,5886,77387,214600,3809,28186,16576
2012-11-06,371265,109020,43660,8077,154464,49022,4786,51043,227192,4086,29029,15295
2012-10-30,380719,115954,48367,8133,155234,38756,12570,41025,236817,3433,32918,14324
2012-10-23,380664,114632,49538,8680,160095,38525,12756,34100,233824,3443,34442,15597
2012-10-16,401162,137342,41840,11275,163609,36858,13776,26560,255557,4804,30468,14688
2012-10-09,410863,145876,52297,12953,166980,37518,13195,18952,256662,3811,31995,14901
2012-10-02,422518,154448,37971,12270,172059,38812,12695,17059,284444,3405,33640,14792
2012-09-25,419285,159206,33873,7372,178560,38047,4118,16091,300852,2791,36566,13124
2012-09-18,610216,171777,37735,26055,193581,36729,3193,22280,308975,135445,37611,42558
2012-09-11,476217,187107,38042,9217,191280,41579,3513,21680,318872,9649,39060,37938
2012-09-04,471787,197700,45711,6546,192723,42811,4285,21677,313325,2361,33115,36866
2012-08-28,469826,196367,51594,5447,194526,41814,4389,21622,310521,1802,32636,35868
2012-08-21,447778,183507,53141,4422,183747,40850,4744,23965,295112,1517,34051,28093
2012-08-14,419101,157883,61037,5393,177396,43024,4316,26707,265637,2099,32716,21360
2012-08-07,400971,146661,55738,4676,172498,43807,4419,28122,253835,2066,30358,20304
2012-07-31,375485,123647,52997,3415,172282,43814,5313,29038,236269,2057,28425,15404
2012-07-24,359674,101219,46528,6274,178866,45279,5388,28423,219682,1607,27783,18966
2012-07-17,346658,88781,38893,6999,174176,44496,6442,28259,219702,1517,29675,13265
2012-07-10,355863,95459,42758,7145,183385,44282,6083,22739,223165,1764,28397,14945
2012-07-03,361914,110883,46224,4818,172025,42525,4679,22477,231023,1410,29151,14449
2012-06-26,344845,91590,50515,3672,175678,45165,5974,25023,208156,844,24532,14919
2012-06-19,335838,92493,48601,3642,170459,43978,3777,19844,204087,970,28560,15097
2012-06-12,470836,135037,94983,22289,152073,45081,4732,47998,170170,56719,43391,38608
2012-06-05,391575,149664,103368,9011,128475,44020,7084,62800,167682,3608,22888,20559
2012-05-29,386837,146982,93028,8519,127056,44661,6494,61751,174039,2594,25863,22914
2012-05-22,402436,156525,88381,16617,136235,44482,7447,52280,184986,2302,22666,23085
2012-05-15,418164,175324,98805,12886,138396,41239,7688,42941,199640,2685,27143,20924
2012-05-08,428351,158611,91565,21164,150908,42296,6093,52199,205044,2620,27324,26469
2012-05-01,418798,160615,71167,6673,163445,36981,5986,36449,230434,2772,30337,31281
2012-04-24,424617,182890,69219,5568,161968,39790,6684,24859,241483,1974,29805,26836
2012-04-17,454563,209559,73134,8642,161319,40451,7051,23960,253013,3949,27935,32115
2012-04-10,462107,214817,80368,10577,158697,37363,7276,25494,247602,3574,29307,38773
2012-04-03,458864,214793,70587,9335,158717,36377,6147,26405,253389,3853,27650,38608
2012-03-27,447672,205612,77343,10859,160107,36463,5366,20762,238872,3985,28892,36515
2012-03-20,451580,216907,78701,7300,160246,41043,5307,19549,251485,3888,26896,29930
2012-03-13,599805,249228,58289,54602,164572,49614,12000,28877,316010,42252,31465,33528
2012-03-06,490406,234704,76701,8581,161295,44189,8574,28123,293477,5696,32881,23861
2012-02-28,490254,233303,72809,9844,166042,45989,8046,29879,301900,3755,29173,22042
