report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2023-11-28,26061,4316,13208,3136,11546,0,239,676,6561,342,1786,780
2023-11-21,25210,3763,11295,3636,11013,34,251,850,6424,430,1790,1289
2023-11-14,24205,3891,10621,3839,10977,0,265,834,5717,387,1726,790
2023-11-07,24742,4777,12208,3530,10344,0,153,798,5557,317,1689,738
2023-10-31,22412,4747,11870,2993,9279,0,165,683,4923,321,1546,659
2023-10-24,23223,3750,11888,4087,8434,25,378,509,3740,424,1834,805
2023-10-17,18243,2541,10648,2473,7452,127,517,407,2810,363,1441,709
2023-10-10,16115,1889,9311,2017,7585,517,447,429,2578,231,1360,805
2023-10-03,15870,2338,8812,1691,7521,623,407,427,2861,191,1282,821
2023-09-26,16638,1413,8275,3066,7351,1093,436,441,1782,249,1265,1000
2023-09-19,18381,2038,10361,3405,7524,850,324,620,2069,209,1256,825
2023-09-12,17101,1465,9277,3108,7492,1291,343,530,1615,249,1199,848
2023-09-05,16493,1401,8755,2324,7856,1539,354,520,2005,317,1275,739
2023-08-29,17680,2288,10080,2005,7939,936,345,565,2764,283,1324,728
2023-08-22,19259,2424,10139,3099,7948,582,419,599,2959,733,1242,799
2023-08-15,16860,2005,8731,2218,8686,0,322,614,4360,146,1359,626
2023-08-08,18106,3514,10244,1855,8937,50,339,587,4412,100,1346,581
2023-08-01,16068,2182,8985,1497,8426,121,362,583,3504,131,1286,623
2023-07-25,17373,2341,8869,2406,8796,113,353,658,4059,430,1563,709
2023-07-18,16850,2466,8940,1758,9126,113,249,627,4191,182,1708,718
2023-07-11,17574,4131,10014,1596,8340,152,242,777,4146,85,1578,519
2023-07-03,18234,5292,10535,1451,8393,70,249,556,4079,139,1621,662
2023-06-27,20978,6076,10527,3141,7698,70,367,536,4610,247,1856,722
2023-06-20,17342,3202,9169,2484,6664,261,614,555,3140,365,1319,757
2023-06-13,14817,1797,7781,2037,6282,327,670,584,2295,240,1211,743
2023-06-06,14560,2272,7691,1901,6389,368,560,567,2335,240,1224,771
