report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2012-02-07,2724897,439585,732396,62673,1363899,700409,192761,181482,524001,85810,230524,300304
2012-01-31,2730177,465283,732309,63955,1331977,758566,194690,181420,497486,78704,248653,297377
2012-01-24,2683566,406258,731534,66982,1327814,753991,192132,178358,518651,56195,297587,248066
2012-01-17,2624154,392926,691835,58646,1300681,801012,196556,208761,471182,50731,271128,236524
2012-01-10,2592195,385845,659674,41785,1270209,837887,218345,219102,448103,50901,255520,224741
2012-01-03,2671088,387404,719559,43212,1269547,842533,234672,231034,444321,49458,314940,229345
2011-12-27,2610560,352216,705306,39832,1298131,839875,227908,228118,412334,46760,286889,244157
2011-12-20,2561308,362391,655009,40177,1260595,876829,224953,216676,376038,40680,295486,254100
2011-12-13,3406086,559634,748621,176272,1268586,873954,249374,461208,573074,278659,283463,314783
2011-12-06,3017064,526590,720510,69141,1268203,812672,253782,459022,570925,121089,229949,321429
2011-11-29,3015865,476417,800246,54940,1284513,862010,249640,497638,548288,74457,278728,279021
2011-11-22,3035521,488659,800358,51410,1274269,928585,249688,511713,511991,69328,296081,251323
2011-11-15,2962579,458502,728350,50813,1256850,861606,254792,500043,559210,59574,287804,262183
2011-11-08,2891815,420161,750957,49841,1260175,804356,254559,497142,533052,45952,266114,275450
2011-11-01,2848461,452661,715142,42125,1206945,826217,265343,493429,487492,43670,248541,293184
2011-10-25,3004309,398479,776268,44405,1301009,925493,250132,536439,487771,39521,345861,295998
2011-10-18,3003811,351761,787868,35816,1333114,916330,253826,543387,482299,40719,359727,302693
2011-10-11,3011932,387311,768062,36317,1333026,974217,259248,519924,465508,37460,356585,307481
2011-10-04,3143543,451553,761764,54547,1314233,1120091,281325,536261,412063,36581,377600,293730
2011-09-27,2976793,412363,733219,29379,1339519,1012560,244572,466099,407746,36570,360627,299937
2011-09-20,2920552,235364,825180,33998,1391271,866071,233665,497004,400973,26047,415307,355422
2011-09-13,4089537,887102,1139748,127015,1437067,994722,256330,571870,599866,288245,414885,367626
2011-09-06,3762716,844234,1142001,96625,1480369,957406,253016,495790,602946,87279,407540,306615
2011-08-30,3569848,745575,1126519,87973,1496353,857273,248641,436706,570815,71572,391070,310170
2011-08-23,3438382,810037,1047600,85936,1442482,866697,283466,399687,503720,73602,252416,288083
2011-08-16,3229005,713133,995757,69710,1421028,798603,264618,323271,471446,85549,242520,296101
2011-08-09,3386290,793640,848941,95302,1379115,778862,290857,314699,490520,92479,287660,533443
2011-08-02,2811337,505148,754635,58897,1339975,659101,232499,243004,472634,60042,254237,372087
2011-07-26,2581474,371928,752763,46537,1339680,436633,227977,219516,548628,58602,218067,278789
2011-07-19,2599222,382409,715077,46680,1342120,493797,226253,206697,551015,68272,228633,269994
2011-07-12,2601431,401528,714819,45107,1331879,503717,230915,171309,549464,74018,243357,252403
2011-07-05,2494190,329216,728560,36913,1328909,402882,234277,174702,544946,63140,220096,251763
2011-06-28,2516434,310949,719685,42300,1383825,447463,243071,131391,538388,69348,230691,257336
2011-06-21,2537969,271504,751970,32807,1389527,475022,240122,146583,519766,72688,282364,242885
2011-06-14,3425322,541088,904589,137190,1417959,468728,267179,284560,649181,207654,334395,539449
2011-06-07,3009071,531860,925673,40191,1399818,467283,252480,304209,629255,75592,246572,459810
2011-05-31,2866938,412056,858948,37216,1417836,427456,234247,338080,609519,52282,240591,481738
2011-05-24,2803618,386110,813007,28935,1411195,445423,233969,302189,602799,61846,251504,468896
2011-05-17,2725544,366512,804271,36285,1387004,434921,227886,280179,616391,62675,243807,410685
2011-05-10,2707707,373383,810947,34381,1367990,404182,224446,282028,636468,50159,268737,404453
2011-05-03,2816881,427229,844930,45497,1342227,412968,235128,300011,625075,134054,226214,375083
2011-04-26,2745754,344269,815222,49864,1365037,426113,223690,307026,589687,132600,234661,394837
2011-04-19,2708468,355697,858574,41759,1353400,445132,225618,301476,515041,113527,230237,409712
2011-04-12,2695345,344214,885228,46881,1318935,433398,241138,333002,545074,86428,245868,371631
2011-04-05,2682037,346989,867298,48158,1314311,442812,240008,323857,541410,88805,243199,355693
2011-03-29,2655711,340359,868258,39415,1360516,454209,223413,308996,543719,93618,220839,343906
2011-03-22,2571151,306327,813792,36483,1357286,492440,215263,310983,524765,77883,193037,328258
2011-03-15,3595592,770878,913694,147076,1396444,504793,271288,267159,782331,345820,270830,456367
2011-03-08,3037799,592914,838414,48934,1373260,464467,247128,264216,786969,181368,223638,312764
2011-03-01,2970595,534497,869237,49420,1363533,471263,240164,267161,746504,159803,251957,298291
2011-02-22,2899999,514808,832450,43421,1390907,443105,234374,274475,733320,139834,202367,288198
2011-02-15,2837103,464932,842054,41169,1387809,450887,234134,256716,728776,143525,204428,264887
2011-02-08,2775873,442048,788594,40523,1385743,452172,235534,241303,739799,136156,210755,253592
2011-02-01,2707779,409398,699289,52487,1361146,485819,234414,206227,755336,122034,245696,237678
2011-01-25,2649692,391276,681706,31080,1384827,457426,237745,205988,761966,111567,212713,254933
2011-01-18,2575471,367902,661737,42487,1335874,440665,233922,207757,751841,103160,212240,253672
2011-01-11,2533574,386307,615858,35511,1317145,461428,235133,181487,788182,93604,222060,215781
2011-01-04,2499724,328709,592851,34707,1341274,444062,240245,188216,770211,93130,211935,230716
2010-12-28,2479708,319756,603469,34188,1376562,418507,240186,165474,784073,72956,211189,250716
2010-12-21,2435858,326030,581587,24255,1349160,434975,233459,157503,785235,72083,215868,235936
2010-12-14,3391166,524926,883041,83763,1437981,432093,259562,205106,789532,468022,332637,345108
2010-12-07,2979326,503360,888275,64826,1417364,440981,253169,208741,727705,177012,289254,316826
2010-11-30,2882495,484593,817661,47868,1424205,500899,264841,184781,673180,165591,255082,322161
2010-11-23,2836389,484838,875959,42985,1413649,481576,259884,191350,652813,137650,250158,292254
2010-11-16,2859310,455002,848365,67874,1399536,486128,265365,177664,659873,136447,297020,308203
2010-11-09,2801910,468349,835094,43110,1410810,434397,266294,163716,765627,130804,249296,227264
2010-11-02,2709889,464845,769856,34683,1376653,470076,265093,139057,728884,124307,248943,217000
2010-10-26,2696003,423970,768377,38698,1410832,471358,255336,123437,722058,116022,281979,226718
2010-10-19,2689641,375512,797217,52711,1413053,495082,256922,143419,662850,110284,289045,235980
2010-10-12,2687051,364726,786896,35436,1400208,501362,243961,151683,698446,113982,327074,228965
2010-10-05,2643979,364543,778520,36921,1375415,529623,242434,136727,630357,112763,330269,225358
2010-09-28,2570715,333423,741883,35666,1400566,527851,232673,127772,629148,102992,301960,228658
2010-09-21,2480461,277650,703528,22797,1404749,548759,243194,100544,546468,94689,301953,251949
2010-09-14,3460098,522512,942330,78267,1427163,633850,262636,294814,584258,434446,349266,396447
2010-09-07,3025949,528227,930182,37995,1401137,679656,252412,294117,513332,260312,173985,243228
2010-08-31,3042646,602807,966696,36275,1427932,726715,240091,293593,502840,206604,159220,243940
2010-08-24,2939121,546967,926870,36430,1380690,709579,235081,263116,477956,199269,210331,236975
2010-08-17,2826725,430577,832689,44676,1359950,650420,228840,257235,581648,157721,288933,236396
2010-08-10,2752036,343479,818621,34299,1385859,578342,232776,235307,622825,159297,306420,228266
2010-08-03,2745286,349906,838576,34179,1353761,583107,229988,226979,587288,154956,351310,241957
2010-07-27,2780454,372016,861874,44751,1385586,605119,231428,225442,569071,146606,338293,249933
2010-07-20,2814633,402716,891084,37517,1405126,619132,227012,207952,543947,152096,337248,272503
2010-07-13,2812693,358218,952597,23201,1411306,590752,225326,219708,535367,144495,385789,279161
2010-07-06,2875146,400721,871221,33577,1434809,704945,235203,161800,555022,142984,425176,279897
2010-06-29,2752345,356104,783747,30662,1416594,704004,224225,155732,607626,139353,397103,223455
2010-06-22,2607245,273826,788779,28700,1372087,584909,228324,127501,593330,134411,408217,209523
2010-06-15,3426436,494957,864560,160169,1333725,602957,225787,232827,596954,470127,466380,403823
2010-06-08,3046422,564711,894252,49122,1338248,661595,227659,223305,558772,234355,357992,291078
2010-06-01,2820119,498556,876745,54918,1352088,610347,224962,187791,551055,153653,310892,240340
2010-05-25,2735512,535337,816769,55303,1212224,601774,255937,151458,549789,146100,338847,214713
2010-05-18,2641156,410595,771049,57259,1283389,515059,232037,121353,605383,134917,365023,234556
2010-05-11,2659978,421576,837483,52738,1274693,496811,230849,104712,548684,143026,386572,270859
2010-05-04,2566615,381929,865403,47248,1252222,473018,212587,187989,483526,134276,311004,256749
2010-04-27,2575827,368537,853138,40861,1225196,428298,274117,192891,515376,138705,291506,229201
2010-04-20,2496089,324107,795963,25973,1236281,421522,262093,178694,523753,128073,304098,247322
2010-04-13,2426056,303758,818166,22613,1219872,421407,257524,155949,491825,114078,315432,225480
2010-04-06,2408236,300735,792079,41512,1237293,423909,251434,133383,502495,104270,303921,228442
2010-03-30,2419469,290223,811032,36793,1303225,449895,234295,105294,511229,98782,317768,217060
2010-03-23,2348917,280848,770056,30089,1266377,448198,241855,76692,477426,90984,327163,237389
2010-03-16,3578829,656512,915850,108849,1276780,480009,248793,356547,665889,482640,413300,564918
