report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2023-08-08,760968,71402,60392,17187,496666,79804,22071,23480,520021,1792,92240,46601
2023-08-01,755156,70631,51919,19182,492126,79699,23286,18786,521753,1751,93893,44384
2023-07-25,772408,80093,54039,22692,491850,76934,24713,18141,536742,1941,97545,40506
2023-07-18,783132,86196,64705,18962,501669,77482,21661,20303,538591,2095,97050,46539
2023-07-11,736056,70220,60623,15913,477886,78005,20616,18306,501066,1707,95768,43468
2023-07-03,725927,69829,52356,14751,474861,79095,21040,16355,498196,1373,90921,44299
2023-06-27,732123,70527,56288,15004,474306,78536,20738,18698,501350,1405,93625,45393
2023-06-20,732979,66452,60120,14695,476293,82284,21244,19145,496116,1391,92826,44752
2023-06-13,818294,70136,49937,27091,467413,79173,22936,21468,500110,63650,104516,59267
2023-06-06,781967,77781,54388,34860,487937,87370,20355,22692,516983,1993,95766,50271
2023-05-30,775142,72423,53127,27536,499251,82677,18677,20717,530125,1690,93836,45546
2023-05-23,781123,72480,58233,25212,508404,79601,19835,18770,538642,3693,92077,41618
2023-05-16,789930,69220,53952,25019,521175,79390,21048,17780,549939,3903,93212,41968
2023-05-09,794721,78046,64643,22717,517803,76477,21456,18458,550230,3571,96515,41677
2023-05-02,779458,70548,55759,23055,511857,76172,22643,18184,539147,3176,93686,45472
2023-04-25,772882,69260,55884,15442,510675,74655,23355,19153,545719,2773,94777,39740
2023-04-18,766374,65844,57520,16417,505959,73677,21896,19870,536511,2917,90436,41512
2023-04-11,759439,69139,61513,13809,496317,74572,21634,19719,526373,3281,89357,40630
2023-04-04,747095,66748,63263,14931,485717,74529,21601,19742,511316,3103,91568,40174
2023-03-28,732506,58664,55651,13347,483631,80327,20829,23428,500750,3200,85724,39501
2023-03-21,737437,61547,48206,11303,479791,81594,21108,24377,508761,2681,87688,41359
2023-03-14,745403,64007,56362,11339,484418,83731,22253,23984,504526,2563,87967,41054
2023-03-07,821057,75936,60049,20663,490588,80743,21584,47380,552786,17223,97168,42988
2023-02-28,803963,84939,58012,18838,488209,82563,21175,43416,549079,9516,93162,43458
2023-02-21,789898,79329,56100,18535,484939,77011,21213,43630,544967,7616,91704,42954
2023-02-14,788633,79092,57684,15285,485694,72857,21082,41784,546951,8626,93575,45691
2023-02-07,781287,73795,58220,16176,489504,78631,18279,40285,538639,9159,90502,43794
2023-01-31,796738,85496,80440,14029,487012,75651,18213,41129,538965,9900,95671,42591
2023-01-24,777569,77468,88332,14465,476921,74844,17633,41118,514783,8075,96793,44692
2023-01-17,753915,71486,85373,14999,459449,76813,17600,43087,494265,6657,94476,42386
2023-01-10,746163,82961,89335,16377,438725,77117,17408,47533,480753,4665,91275,44047
2023-01-03,712030,71489,77178,15808,432022,82479,16855,45250,459862,1399,85209,41043
2022-12-27,728387,81740,92874,14625,451326,85682,17576,32479,455413,1941,83826,43168
2022-12-20,725968,78454,95148,13941,450549,89882,17696,33389,448199,1846,84867,41125
2022-12-13,772800,68146,79103,40218,445288,94765,19750,40388,439262,16964,94033,61371
2022-12-06,711537,76694,81601,19293,414337,98301,20496,41631,412261,6358,85050,49928
2022-11-29,695776,76460,79804,17896,411019,96730,20538,32015,401343,7320,81867,49529
2022-11-22,680873,83419,76878,13838,398863,100032,20391,28591,396124,3385,82746,47914
2022-11-15,682575,80563,80590,14776,396749,108180,21243,29953,382541,4450,86147,47240
2022-11-08,667902,81850,75031,18716,385994,123303,21267,28388,351100,4804,78139,53975
2022-11-01,671729,88366,84155,14823,388553,131227,22149,27000,341879,4922,77062,54033
2022-10-25,666719,83693,88897,18234,386505,147094,21755,28695,310389,4436,75890,56967
2022-10-18,640469,69229,80045,15315,378799,160805,21838,29421,287972,2126,76183,53756
2022-10-11,639348,64598,83788,17167,377407,167700,24322,30929,273318,1927,76656,53994
2022-10-04,640458,68913,87224,16230,375722,161605,25805,30698,269016,1748,74175,61009
2022-09-27,654142,75359,102250,15369,377486,161306,27163,25831,273975,2168,78547,53904
2022-09-20,657952,69575,97378,19276,389710,161836,25485,26727,277641,818,75546,56685
2022-09-13,742244,68149,96774,35250,394065,166918,27971,47324,301593,27961,88806,65546
2022-09-06,721678,74344,97788,22560,384864,195063,29118,65842,281751,8498,83493,66754
2022-08-30,720081,76078,101436,24771,379784,198846,28485,70672,277352,7434,80871,62055
2022-08-23,717921,82015,100897,17106,382815,192609,29441,66610,288729,6330,82403,62601
2022-08-16,698570,70967,93137,19728,384008,177485,28848,59450,297836,4996,79589,57721
2022-08-09,692398,72779,89387,19379,381233,169844,29479,54964,301203,5432,78944,58810
2022-08-02,683883,69879,92579,18630,381487,162742,28789,48526,296921,6171,82466,59175
2022-07-26,694099,73744,104779,21342,373668,165022,28434,57558,290127,6977,83007,60079
2022-07-19,694106,70143,93138,19564,368811,171675,33056,63479,292560,6405,82676,57361
2022-07-12,682031,77104,84726,18590,374628,166915,28135,43994,291498,6745,83394,63910
2022-07-05,673772,78194,87788,17632,385010,154984,28247,31377,303539,3028,82525,57037
2022-06-28,671472,70552,72913,17933,385596,153367,27860,37179,324812,2163,83853,53445
2022-06-21,671718,73266,75862,17635,380395,164806,29257,36272,312443,1453,85208,51421
2022-06-14,668164,67595,78227,15194,390016,167020,29368,31837,308700,1438,84823,50310
2022-06-07,730667,79551,77302,40658,404081,156715,30760,28061,340286,9987,90978,53332
2022-05-31,706317,81461,84256,20627,402783,161868,29119,35000,335539,1737,87138,54224
2022-05-24,708938,80090,91273,17854,397748,169586,33636,40662,321857,1927,87892,54222
2022-05-17,706712,84236,99212,19502,392337,176340,31946,41032,305941,2136,85455,54277
2022-05-10,705046,80967,99030,18334,396166,184759,30659,42305,292660,2387,84921,58424
2022-05-03,694926,76413,96578,17437,380941,190813,30199,52040,281672,1789,88267,57303
2022-04-26,688449,76345,87058,19312,393949,185865,29867,39397,286236,2188,82069,58163
2022-04-19,675939,70868,75909,18157,393537,180014,32694,39464,288777,1759,76939,58514
2022-04-12,678607,79273,71866,19268,387713,175806,33869,40466,299812,1561,79165,57475
2022-04-05,663589,69051,74903,20332,388228,164907,31213,33739,296835,1066,77946,55699
2022-03-29,662415,68790,78753,20315,383102,148267,32762,35965,309821,1158,80321,54347
2022-03-22,658817,67389,82786,20267,381083,152619,32225,37793,297599,2283,75970,53435
2022-03-15,666010,60296,86916,20925,392453,159254,31407,41240,295463,3992,75191,51356
2022-03-08,738990,83687,90574,27712,398633,158114,34237,46429,336761,15321,85727,60698
2022-03-01,719975,65510,83665,17507,411611,136712,32112,45213,378090,2430,84321,54155
2022-02-22,696682,50013,80598,13699,411663,119281,30292,41363,383445,3687,89334,50590
2022-02-15,702047,52391,91413,11567,417318,125531,29162,41787,373838,3191,89120,51644
2022-02-08,700098,63922,97767,11317,407945,130416,27962,40688,355853,5495,87725,53315
2022-02-01,685431,60108,103297,12461,395461,149088,28945,41270,318116,5037,83675,55924
2022-01-25,682952,60810,104453,11199,400657,141770,28558,43234,324134,3765,79273,54575
2022-01-18,691882,59745,103523,9935,406819,155118,30802,45281,320280,3714,79656,53776
2022-01-11,682293,58385,106059,8886,400495,166713,32991,41212,296028,5310,79993,52608
2022-01-04,678218,53226,103086,9822,399303,172641,32177,40946,288602,5579,81029,53017
2021-12-28,673273,57637,108038,13885,403923,167507,31491,31727,281161,6222,76739,51572
2021-12-21,672239,56120,107792,15883,402253,169087,30327,30687,274735,7158,79101,53313
2021-12-14,661711,51027,104672,15429,398080,165996,30435,30793,272703,5517,80169,51701
2021-12-07,716213,54321,102069,17116,390842,159731,32748,49367,297138,34096,86435,57961
2021-11-30,705409,59415,109863,14674,385081,175889,33079,56898,288928,11624,92665,58554
2021-11-23,711685,61527,111496,13791,391874,178489,32090,60870,291932,8416,90690,57403
2021-11-16,705698,60703,101120,12645,392640,169012,32708,59015,311430,6078,90261,59450
2021-11-09,678368,55225,90357,10935,391470,156198,31920,48816,315316,4238,83827,55559
2021-11-02,678024,55382,96689,8024,391933,157316,30000,54829,313129,3840,84160,55294
2021-10-26,680374,55993,106564,7770,395117,152724,28387,52966,308571,3863,86683,59172
2021-10-19,679418,49927,103118,7849,406741,150711,28076,45718,315402,2815,87763,58083
2021-10-12,695329,58428,122030,6839,404022,145599,27692,54801,315390,2687,88733,61382
2021-10-05,693591,51655,123129,9558,417831,143470,25140,44500,318567,1991,90564,59743
2021-09-28,668067,53203,98491,5666,412831,139678,26123,28469,326257,1950,87150,57598
2021-09-21,663519,50898,80625,5098,424705,134554,25638,20461,350717,1400,85507,53353
2021-09-14,653102,48022,74166,6680,410293,120563,27310,20864,360165,1246,90270,51815
2021-09-07,696734,51065,82340,8736,406694,122155,29319,42340,376699,14854,98252,51244
2021-08-31,705110,56161,94209,15059,402394,132336,30376,50492,359275,9021,95205,53469
2021-08-24,698547,62532,83371,10548,397176,133097,30442,51406,361523,9152,91371,58608
2021-08-17,694792,58690,92187,7618,400826,126330,30077,50534,368099,3583,70047,54604
2021-08-10,702098,59526,97549,7283,408653,122303,27466,54108,375546,3348,92351,56149
2021-08-03,674491,51182,88923,7873,397915,109126,28517,45158,373396,3501,92730,51702
