report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2015-09-22,3526351,390044,862447,475310,976106,823264,310770,580624,318163,69191,471015,309371
2015-09-15,4364534,378814,898914,707759,1026951,842091,375705,635742,493801,208814,750505,343154
2015-09-08,4130190,400968,872769,666297,999010,829409,314264,596935,485491,95940,770025,343715
2015-09-01,4211053,455570,859760,776015,1003944,786132,304792,545186,572971,97843,723712,350839
2015-08-25,4395328,499775,794904,973753,1086754,746667,292875,402542,669638,105771,687845,354457
2015-08-18,3382699,473521,807334,458542,1142022,571441,280611,309614,586191,50445,462969,300276
2015-08-11,3327909,460512,820436,442842,1153263,557727,277135,296980,556279,42044,452776,304063
2015-08-04,3219894,454910,784402,412211,1135772,544983,278660,279365,538830,41474,426607,298433
2015-07-28,3222201,471121,772782,424376,1165316,540797,283801,247470,557475,44316,397272,290896
2015-07-21,3143902,431277,790438,403606,1202844,507756,258162,223826,540615,45513,395541,301359
2015-07-14,3204193,381585,775527,447336,1190567,523680,279392,229393,509420,49302,414053,293845
2015-07-07,3234848,377641,817693,447651,1191244,529739,279811,246871,506387,49939,462841,294146
2015-06-30,3209171,410927,828777,463984,1178974,520085,283068,240500,476594,45716,394086,277989
2015-06-23,2997315,357768,813594,346008,1234967,486581,279806,236898,482279,37619,339805,281696
2015-06-16,3736199,491512,809097,497250,1149740,561914,348094,224373,653849,223120,603801,314242
2015-06-09,3484127,472622,807506,455459,1210628,568196,262875,212379,597657,179086,497636,287949
2015-06-02,3352277,461885,736074,458288,1258668,543218,233875,200937,638479,118901,427213,288361
2015-05-26,3277663,436513,752307,457208,1244705,527176,234727,200607,597515,99862,416406,287975
2015-05-19,3255995,449794,708780,453392,1258363,512708,230430,187261,647514,94305,398899,288885
2015-05-12,3275350,449751,735869,459669,1234844,530047,232910,184039,635631,95072,427617,272484
2015-05-05,3237707,442623,777195,437119,1228423,520381,222780,180492,594755,92856,442264,278203
2015-04-28,3213264,455773,728527,423205,1266239,538201,213242,177072,642531,90320,403734,267831
2015-04-21,3135933,464328,722074,376443,1243136,538079,211450,172960,643407,83724,406449,262591
2015-04-14,3138879,433955,737552,390306,1260951,518352,222347,179336,635733,84057,382874,260943
2015-04-07,3102632,404081,736129,384023,1239209,517834,240576,176908,612754,69928,395451,257071
2015-03-31,3101747,404082,750884,416434,1243951,519066,233307,186744,595042,48759,366878,249355
2015-03-24,3021679,381594,744387,375286,1282323,521631,219225,191310,588401,39870,334613,242262
2015-03-17,3954330,488446,815112,529854,1256450,598207,311266,223090,815874,264421,656398,269806
2015-03-10,3719983,519232,867213,502033,1252503,580235,228765,226145,799600,130332,629687,279645
2015-03-03,3449532,500298,780245,477331,1287218,516560,220199,199205,795029,70039,486304,264794
2015-02-24,3335355,480605,760811,431928,1314709,494096,216977,181235,808687,56001,458426,259195
2015-02-17,3327863,489131,747966,481442,1288678,489115,219304,159777,792101,53778,423579,248751
2015-02-10,3259373,504252,754476,440948,1299989,521128,192881,155413,767606,48982,408763,251154
2015-02-03,3189609,486291,729773,422488,1309262,516120,194853,150214,749736,43760,378047,251802
2015-01-27,3146928,470110,659510,433259,1326205,475227,212078,157782,795591,42005,304515,240876
2015-01-20,3149982,489951,671592,422991,1307435,492330,211371,159643,792241,37937,319640,235679
2015-01-13,3272512,496732,673746,534008,1341836,486930,202055,163669,797869,45150,280852,236024
2015-01-06,3245104,553367,667325,460346,1326517,483191,212430,165219,855686,39178,278929,238870
2014-12-30,3267163,515822,718450,481331,1381466,465130,175000,182641,848274,43295,259730,256464
2014-12-23,3291481,512995,715450,507644,1374536,483160,184474,189126,832016,45211,247280,233590
2014-12-16,4155860,659907,694485,852040,1295360,596502,256225,166319,819718,279023,328603,308015
2014-12-09,3782005,621805,767974,664596,1380307,546489,197851,168713,842982,193985,299661,260510
2014-12-02,3788594,643529,849383,646374,1386107,542623,185342,196215,832276,160990,310119,265078
2014-11-25,3798036,578698,843836,673584,1408147,545134,180893,199051,806399,163762,327932,273373
2014-11-18,3969484,569184,830253,851280,1382954,540186,189367,199690,809505,160476,335707,272356
2014-11-11,3801031,544312,828701,798127,1326760,540645,196671,215499,752492,113137,339727,269117
2014-11-04,3654292,510815,824584,705815,1304222,553670,200084,212323,713141,95377,359513,267114
2014-10-28,3607120,473825,969663,625522,1327500,540585,200717,222021,634249,78435,414779,270317
2014-10-21,3520301,440064,982937,583808,1305652,525409,216458,227058,593302,59934,423971,275683
2014-10-14,3715049,518975,866439,770677,1290316,529242,238773,192760,658832,68667,334303,260662
2014-10-07,3438071,511264,889905,593979,1295001,490711,248673,204157,613775,46120,268820,268048
2014-09-30,3369497,459915,891912,535091,1355348,475644,250814,197350,632958,46589,273296,264060
2014-09-23,3373031,442502,902116,528318,1389485,463874,240586,211347,651702,43283,265068,258848
2014-09-16,4361270,588740,1050491,696303,1305021,484412,345472,243040,795794,359859,517063,304935
2014-09-09,3935333,544161,967406,657000,1304855,476423,258121,255350,791360,186632,440949,281021
2014-09-02,3767564,509886,942226,640878,1311512,464421,236045,252882,782592,96381,424256,285676
2014-08-26,3712793,512290,940936,625157,1324553,463569,234957,232768,783317,86969,398433,278997
2014-08-19,3594514,521403,987135,537440,1319616,462851,227170,221871,755392,81319,400794,276682
2014-08-12,3619261,524819,986418,588884,1290934,461834,232998,204039,748565,85143,403171,255673
2014-08-05,3606962,537414,958531,607037,1274609,450618,239360,196106,735612,80085,376347,268762
2014-07-29,3511129,471009,967597,525425,1351674,410305,227593,214609,764991,71183,353691,266760
2014-07-22,3446201,488583,930950,481032,1343905,406087,231590,211573,792832,59009,338592,272699
2014-07-15,3515480,457706,920675,561564,1343320,403097,232556,225531,789183,65689,317815,264063
2014-07-08,3474250,438725,987732,508817,1344172,406754,214706,256701,761574,56304,352917,266286
2014-07-01,3456278,453635,979851,485412,1352251,426717,199390,255291,778725,46083,356107,262823
