report_date,open_interest,lev_money_positions_long,lev_money_positions_short,lev_money_positions_spread,asset_mgr_positions_long,asset_mgr_positions_short,asset_mgr_positions_spread,dealer_positions_long_all,dealer_positions_short_all,dealer_positions_spread_all,nonrept_positions_long_all,nonrept_positions_short_all
2020-12-21,716532,66762,48907,39343,382887,75363,25161,34029,453601,24752,97560,40608
2020-12-15,707095,65070,48973,31748,379737,75863,23304,35950,450973,24981,101391,42266
2020-12-08,733134,72281,59331,35481,373959,73999,24802,44100,449499,34814,104932,46622
2020-12-01,719718,61304,58937,41086,372394,72350,29543,48912,441600,18953,101152,47971
2020-11-24,694836,55973,58697,34371,379593,68813,28763,39491,439678,15330,92420,40590
2020-11-17,686966,54261,60789,30712,373792,70824,28354,42220,430127,14332,94486,43380
2020-11-10,683948,54514,60225,29015,372113,75943,27480,42330,427438,12873,97373,43346
2020-11-03,680961,49014,60348,31385,364392,78274,27659,44801,417568,14851,90170,42862
2020-10-27,691570,60052,55205,35539,364357,72920,27544,34790,432143,15779,97055,44485
2020-10-20,698840,66002,56265,35223,369724,72981,25057,30926,441359,15404,98640,43742
2020-10-13,693634,62692,55800,30244,376671,72095,25903,30249,441230,13865,96674,45169
2020-10-06,711773,67495,49604,39025,377469,77119,26105,31341,450804,15435,97961,44539
2020-09-29,717952,76449,48687,40600,376634,91605,27217,29818,441227,15339,92924,44391
2020-09-22,725636,72860,54454,38562,390443,89787,25332,29146,446358,15091,95168,45319
2020-09-15,710489,64829,48407,37177,394296,90661,23758,29744,446751,11496,100088,42344
2020-09-08,742850,78417,53298,39152,400539,85939,22861,29375,467205,17601,102930,48670
2020-09-01,777335,78604,52845,54438,408832,81941,24861,31655,486854,20967,104572,47059
2020-08-25,780921,81651,51052,54497,415545,76281,24059,28777,501061,18546,106060,47608
2020-08-18,785166,87900,61821,56622,415172,69421,24996,28478,502432,16702,109545,44868
2020-08-11,776236,90671,65307,50749,409172,69270,23797,27405,498181,16054,103429,44010
2020-08-04,795353,85507,74460,66345,408571,70344,26014,27064,486005,17967,107597,44261
2020-07-28,768384,74588,80775,62233,408321,70588,25353,26794,457365,16241,105965,44896
2020-07-21,710896,54568,71975,50358,393950,72713,24538,25654,411088,17491,102791,46308
2020-07-14,667904,48181,80775,41527,379793,77355,20502,25700,373091,17480,97589,46542
2020-07-07,646323,44949,75760,34951,358628,84682,18580,25755,356371,25005,93611,41592
2020-06-30,643597,40337,73975,41509,354902,92595,19964,26615,336789,26715,91830,42670
2020-06-23,648743,48658,68319,39718,349974,91563,23554,27207,344346,26767,88551,44654
2020-06-16,637313,46626,67870,38178,348453,89976,23646,26279,336032,26175,83406,46429
2020-06-09,655042,50063,85692,38938,344358,87666,25369,35864,329075,28181,88856,51386
2020-06-02,648551,45340,84075,47519,336408,98931,26433,40137,304086,25217,86839,50794
2020-05-26,609350,46896,81847,38717,331228,107358,25165,39633,288035,12702,80326,48796
2020-05-19,601044,43156,78905,38946,322760,105987,25846,43393,280817,12529,80760,50987
2020-05-12,598612,45390,76526,37796,321092,98356,25689,45280,286831,12796,78034,49524
2020-05-05,605228,46999,76821,48100,319310,93527,24318,39973,287078,14289,79869,52597
2020-04-28,608104,48884,72851,46736,324364,91100,24628,37307,295383,14443,78967,50403
2020-04-21,608534,47475,71751,45238,332992,86677,25128,32469,306642,16786,76502,48171
2020-04-14,600593,44420,72053,42770,332058,86510,23636,33447,308632,15416,79576,45051
2020-04-07,615155,41908,77209,45276,338701,88217,23027,34240,309683,18447,85905,47214
2020-03-31,634755,37599,81809,57825,343860,84567,30285,37332,300165,23693,76472,49125
2020-03-24,666348,34561,88898,67617,357095,92337,31521,39079,295115,24499,87438,59059
2020-03-17,680940,33460,105254,61523,386796,96783,30586,35764,305847,25259,83091,47769
2020-03-10,754022,31321,146560,75001,410321,104821,39044,30842,281237,41624,95855,54732
2020-03-03,752287,34078,189677,74172,392199,143962,37043,27479,166797,63212,90774,63920
2020-02-25,710390,36821,200472,60464,381509,173149,41023,32607,121644,24498,98176,66395
2020-02-18,696623,40557,190964,53186,370661,171014,42342,32112,137883,20454,102106,64535
2020-02-11,672682,37897,181333,42375,380551,168458,37721,28118,146901,14602,97279,65392
2020-02-04,651676,35186,169744,39025,364434,171118,36657,30968,148777,10779,99315,60463
2020-01-28,655157,44829,164221,39524,358122,171023,36371,31307,159864,11374,99349,58502
